"","TF","target","importance"
"1","JUN","HSPA1B",129.081280523332
"2","KLF2","RPS26",112.835139790814
"3","JUN","DNAJB1",105.290825841811
"4","FOSB","FOS",102.515667926099
"5","JUN","HSPA1A",102.211138032448
"6","ZNF90","RPS16",90.8706747693977
"7","FOS","FOSB",87.1084438030003
"8","FOS","DUSP1",69.2274840592878
"9","JUNB","RPS26",67.3400707191325
"10","FOS","JUNB",63.1116343281618
"11","KLF2","LTB",62.9812542060383
"12","JUNB","ZFP36",62.0233330628822
"13","JUNB","JUN",60.5887995839738
"14","KLF2","MALAT1",58.7925857890673
"15","JUNB","BTG2",57.9942906453522
"16","KLF2","SELL",57.5618426673218
"17","JUN","JUNB",56.3959451864754
"18","ETS1","RPS26",55.4671328369381
"19","KLF2","SOCS3",53.9934820637085
"20","FOS","KLF6",53.1686613529006
"21","JUNB","FOS",51.8446731194093
"22","KLF2","BIRC3",51.2377472855352
"23","FOSB","JUN",50.405838492268
"24","KLF2","FLNA",49.1830671943497
"25","JUNB","CD69",48.8454830517256
"26","JUN","HSP90AA1",46.7820414797442
"27","KLF2","ETS1",46.7448856242767
"28","ELK3","CCL5",45.9828342489068
"29","KLF2","JUNB",45.4284215828909
"30","KLF2","MTRNR2L1",44.4991107786558
"31","KLF2","DNAJB1",43.028674370997
"32","JUN","FOSB",42.9367325416459
"33","JUN","DUSP1",42.6255021827012
"34","JUNB","TNFAIP3",42.595366708802
"35","FOS","JUND",42.5546093717973
"36","FOS","NFKBIA",41.959948336836
"37","JUNB","DUSP1",41.7754604309874
"38","JUNB","KLF2",41.6726136485102
"39","KLF3","KLF2",41.6412344524075
"40","JUNB","ZFP36L2",41.1117085722795
"41","EGR1","FOSB",40.7562901326464
"42","JUN","UBC",40.7159810517065
"43","FOSB","DUSP1",39.8911439815686
"44","FOS","JUN",39.8690656300667
"45","KLF6","FOS",37.2246135817133
"46","JUNB","DUSP2",37.0116340257672
"47","KLF2","LITAF",36.7447261309226
"48","FOXP3","CTLA4",36.4966746113109
"49","JUN","FOS",36.0702961640688
"50","JUNB","DNAJB1",35.8634143388695
"51","KLF2","PFN1",35.578881472191
"52","KLF2","FAM65B",35.4556288723735
"53","JUN","ZFP36",35.0511788984574
"54","EGR1","JUN",34.3459180374145
"55","ETS1","TMSB4X",34.3327691110188
"56","FOS","CD69",33.6686750929999
"57","JUNB","PNRC1",32.4064417621548
"58","KLF2","HLA.C",31.5830957685096
"59","ETS1","HLA.C",31.3039887362781
"60","EGR1","FOS",31.1796018881631
"61","FOSB","JUND",30.7303751678282
"62","KLF6","DUSP1",30.6286566288766
"63","JUND","FOS",30.3555108659327
"64","EOMES","GZMK",30.2983466320741
"65","JUN","EGR1",29.902548848372
"66","JUNB","CXCR4",29.737934054496
"67","KLF2","LDHB",29.6801524299889
"68","JUND","EEF1A1",29.5628136076729
"69","FOXP3","PMAIP1",29.1031646245107
"70","JUNB","SOCS3",29.0516252058611
"71","KLF6","TSC22D3",28.6299101705034
"72","KLF2","PIM1",28.3836245113872
"73","JUN","JUND",28.2595835023163
"74","FOS","ZFP36",28.1674873416096
"75","KLF2","BTG2",27.5127353839501
"76","ETS1","AHNAK",27.485987782747
"77","JUN","CD69",27.412763697766
"78","FOS","EGR1",26.7733265793352
"79","LEF1","SELL",26.757168897079
"80","ETS1","KLF2",26.7562864126345
"81","KLF2","CD74",26.5976896126668
"82","CREM","DUSP4",26.5116821616359
"83","ETS1","HLA.A",26.0649187668427
"84","JUN","CXCR4",25.9536479747541
"85","FOXP3","DUSP4",25.515376405118
"86","JUND","RPS3A",25.4644209834883
"87","KLF6","VIM",25.3950052704396
"88","FOXP3","TIGIT",25.3086383723222
"89","JUND","TSC22D3",25.2429081279671
"90","ZNF286A","ZNF286B",25.2318806700703
"91","JUNB","H3F3B",24.7796542850183
"92","FOSB","EGR1",24.7388078420527
"93","FOS","TSC22D3",24.5257613144176
"94","KLF2","ARL4C",24.305378060139
"95","JUNB","SLC2A3",24.300251773278
"96","ETS1","MT.CO1",23.8872988305041
"97","JUND","DUSP1",23.8615105849574
"98","FOS","TNFAIP3",23.2797406361785
"99","FOSB","KLF6",22.9947302454368
"100","JUN","RPL35",22.7174408071431
"101","PRDM1","TXNIP",22.6865043069125
"102","JUND","KLF6",22.6853484253641
"103","FOS","PPP1R15A",22.6853300701706
"104","JUND","ANXA1",22.5145051788267
"105","JUNB","ETS1",22.5048827881556
"106","ETS1","SRGN",22.2526631256212
"107","JUNB","HSPA8",22.2206504824682
"108","KLF2","MCL1",22.1531060940502
"109","JUNB","MCL1",22.1212343028122
"110","KLF2","HSPA1B",22.0264793165337
"111","ETS1","GAPDH",21.8893679281246
"112","STAT1","RPS26",21.6099459631245
"113","JUND","RPS23",21.4624636482101
"114","KLF6","JUND",21.4575008813879
"115","JUND","CD69",21.4409061457383
"116","FOS","GPR183",21.4362541353869
"117","ETS1","PFN1",21.3732492258039
"118","JUND","SRGN",21.2999222095418
"119","JUNB","SRGN",21.2950405729269
"120","JUN","IER2",21.2255952798989
"121","EOMES","CCL4",21.0046968242111
"122","KLF2","HSPA1A",20.9796874992828
"123","ETS1","MTRNR2L1",20.9447863978388
"124","FOXP3","LTB",20.9093137240101
"125","JUND","JUN",20.801215268051
"126","KLF2","RGCC",20.6721297495573
"127","KLF2","CCR7",20.5404513980107
"128","LEF1","KLF2",20.4696829069557
"129","KLF6","S100A4",20.4563913652396
"130","KLF6","FTH1",20.3597162693404
"131","FOS","MCL1",20.2882038608155
"132","KLF2","MYH9",20.2642400155131
"133","ETS1","GNAI2",20.1216614870797
"134","ETS1","RPL6",19.9763255961539
"135","KLF6","ANXA1",19.9367453563204
"136","JUND","FOSB",19.8372440337569
"137","FOS","BTG2",19.8251842914072
"138","ETS1","S100A4",19.7947155020129
"139","EOMES","DUSP2",19.7364150842077
"140","FOSB","TSC22D3",19.6913454166235
"141","EOMES","GZMA",19.5779298127712
"142","KLF6","MYADM",19.5198647838653
"143","JUN","BTG2",19.3144413284045
"144","FOSB","PPP1R15A",19.2228899833905
"145","FOXP3","RGS1",19.1455722491539
"146","JUNB","JUND",18.978821912996
"147","JUNB","HSPA1B",18.9276983369197
"148","KLF2","MT.ND4",18.9147717715353
"149","ETS1","HNRNPA1",18.913345608573
"150","JUNB","PPP1R15A",18.8543466572509
"151","JUND","UBC",18.828565935457
"152","FOXP3","TNFRSF18",18.7281333429603
"153","ETS1","SARAF",18.6238516940234
"154","JUN","RPS26",18.5568558435886
"155","ETS1","AES",18.5380611566721
"156","PRDM1","HLA.C",18.4797916360816
"157","KLF2","ITGB2",18.2025075486785
"158","KLF2","HLA.E",18.1982710956689
"159","KLF2","SYNE2",18.1096525576261
"160","KLF2","SAMHD1",18.0978538106264
"161","BATF","CCL5",18.0195230574771
"162","JUN","HSPE1",17.9218164815702
"163","JUND","ZFP36",17.9060450184695
"164","FOS","SRGN",17.8874661844023
"165","ETS1","BIRC3",17.7400138779082
"166","EOMES","CST7",17.6334173846004
"167","PRDM1","RPS26",17.6299428702812
"168","KLF2","MYADM",17.5460786063108
"169","JUN","RPL41",17.540480941788
"170","ETS1","TMSB10",17.3642441145956
"171","KLF2","SLC2A3",17.3204969061224
"172","KLF2","TMSB10",17.2687648791457
"173","JUNB","PIK3R1",17.2613672709712
"174","JUNB","MALAT1",17.234438918572
"175","ETS1","IL32",17.0694551607967
"176","ETS1","MALAT1",16.9221383251683
"177","KLF2","RPS18",16.7643771852308
"178","ETS1","MT.ND5",16.749800861844
"179","ETS1","SAMHD1",16.7477108101963
"180","LEF1","LDHB",16.6900895887312
"181","JUN","DNAJA1",16.6722031126895
"182","FOXP3","GBP2",16.5670849891924
"183","JUND","JUNB",16.5045283396928
"184","JUNB","EIF1",16.4715918439288
"185","KLF2","MT.ND5",16.3439843953963
"186","ETS1","CFL1",16.3282078401884
"187","RORA","IL7R",16.2780646945866
"188","JUNB","NFKBIA",16.2721744052571
"189","JUND","RPL9",16.254716534707
"190","JUND","H3F3B",16.1569412456365
"191","FOSB","JUNB",16.1502449876067
"192","ETS1","YWHAZ",16.1287122268702
"193","STAT1","HSPA1B",16.0987535531725
"194","ETS1","JUNB",16.0922139703224
"195","KLF6","NFKBIA",16.0740330638315
"196","KLF2","VIM",16.051109970731
"197","ETS1","MT.ND1",16.0412668155619
"198","RUNX3","CCL5",15.9999280351364
"199","KLF6","AHNAK",15.9910973235154
"200","LEF1","CCL5",15.9376747763312
"201","KLF2","RPL4",15.9085909049188
"202","ETS1","ACTG1",15.8950653613418
"203","ETS1","PTPRC",15.8871036827138
"204","KLF7","SELL",15.801941076242
"205","KLF6","MCL1",15.5671089333835
"206","JUND","TAGLN2",15.5437433736343
"207","JUNB","HLA.C",15.5433383979173
"208","JUND","RPS20",15.4847882845616
"209","KLF2","TNFAIP3",15.3648772698511
"210","JUND","DNAJB1",15.2856781407984
"211","JUND","MYADM",15.2343181498841
"212","JUN","UBB",15.2145344168836
"213","JUN","RPS16",15.1869398451124
"214","ETS1","MYH9",15.1759413053344
"215","JUNB","RGCC",15.172087091122
"216","KLF2","EEF2",15.1672195173786
"217","JUND","ARHGDIB",15.0681916464304
"218","TBX21","GNLY",15.008628386613
"219","LEF1","SOCS3",14.9846790602133
"220","FOXP3","CCL5",14.8634433729602
"221","KLF2","HSPA8",14.8082760821423
"222","JUND","ADGRE5",14.7979638235438
"223","JUN","HSPB1",14.7414726105111
"224","IRF1","BTG2",14.7414519439663
"225","EOMES","TPT1",14.6201234002038
"226","JUND","RPL5",14.6080737265956
"227","ETS1","PBXIP1",14.5707009963676
"228","ETS1","AC090498.1",14.5233077200676
"229","ZNF90","RPL35",14.4067949919044
"230","JUND","PPP1R15A",14.2999304689584
"231","JUND","RPL41",14.2945715198564
"232","KLF6","TMSB10",14.2700476131661
"233","KLF2","ANXA1",14.2633810441513
"234","KLF2","TAGLN2",14.2515500945264
"235","KLF2","PTPRC",14.2431059766156
"236","CREM","TIGIT",14.1421752300133
"237","JUN","RPL28",14.0691100038093
"238","ETS1","ADGRE5",14.033946897371
"239","KLF6","RGCC",14.0030201800163
"240","ETS1","TXNIP",13.9645980050872
"241","JUNB","CSRNP1",13.8989709890393
"242","ETS1","MCL1",13.8908318228651
"243","JUND","S100A4",13.8541527560519
"244","ZNF90","RPS11",13.8527056977171
"245","ZNF14","PTK2B",13.8056925392019
"246","JUNB","FOSB",13.7903227585478
"247","ETS1","ACTB",13.7540940344623
"248","JUN","RPS11",13.7238492520492
"249","JUN","CTD.2192J16.22",13.6693560813847
"250","FOXP3","YWHAB",13.6048243205711
"251","ELK3","CD8A",13.4533008436906
"252","ETS1","RPSA",13.4526635054543
"253","FOS","CITED2",13.40598909378
"254","ZNF90","RPL18A",13.4042063849593
"255","RUNX3","DUSP2",13.3884090468359
"256","TFCP2","REXO1",13.3208239005297
"257","GTF3A","TAOK1",13.3166106036939
"258","JUNB","SELL",13.261417605042
"259","ZNF90","RPL22",13.2603157009975
"260","JUNB","IER2",13.2514609802263
"261","JUN","RPL19",13.2240615471877
"262","KLF2","GZMK",13.1683186904816
"263","JUNB","HSP90AA1",13.1619127281972
"264","KLF6","LMNA",13.0808906899535
"265","KLF6","CRIP1",12.9989726763531
"266","JUN","RPS23",12.9933185460171
"267","ZBTB33","EID1",12.9153199026139
"268","ETS1","DDX5",12.884231826351
"269","FOXP3","UCP2",12.8600735821444
"270","ETS1","TRBC2",12.8063579640372
"271","JUND","HSPA8",12.7805498858945
"272","ETS1","EIF1",12.7378548483388
"273","JUND","RPL34",12.7005843533097
"274","FOS","ANXA1",12.6679325923662
"275","STAT1","CD74",12.6537697958177
"276","ETS1","EEF2",12.652592043008
"277","ETS1","RHOA",12.6123252455837
"278","KLF2","LEF1",12.5799235382302
"279","JUN","KLF6",12.5704998886498
"280","JUND","RPL27",12.5295170592274
"281","ETS1","EEF1A1",12.5151027989769
"282","KLF2","RPS27",12.5115979485461
"283","JUND","MCL1",12.4585843292952
"284","JUN","KLF2",12.4554448460312
"285","KLF6","IL32",12.4509382223273
"286","JUN","RPS3A",12.3750361676932
"287","RARA","APC",12.3629300816714
"288","JUND","RPSA",12.3338112886303
"289","FOS","KLF2",12.2905350219397
"290","KLF7","MTRNR2L1",12.2838548235012
"291","KLF2","YWHAB",12.2786969166495
"292","KLF2","FOS",12.2574342645759
"293","KLF6","CD44",12.2570863968927
"294","REL","CD74",12.2338056739574
"295","JUNB","HLA.A",12.2120184297016
"296","JUNB","RPS18",12.1954664732853
"297","STAT1","HSPA1A",12.170224615559
"298","NFATC1","SNX5",12.1606412850168
"299","PPARD","PDE6B",12.129773715093
"300","ZNF90","CTD.2192J16.22",12.1292815681661
"301","FOXP3","CD74",12.10903170127
"302","ETS1","CD44",12.0871657562036
"303","KLF2","HLA.A",12.0805611586094
